,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
index,Geomagnetism_X,Geomagnetism_Y,Geomagnetism_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_velocity_X,Angular_velocity_Y,Angular_velocity_Z, 
58,-0.195413,0.466055,-0.06055,-0.06148,0.415485,1.46057,130.375739,-31.35875,-24.684538,
59,-0.19633,0.461468,-0.065138,-0.031017,0.38433,1.388837,141.579676,-41.744422,-29.468242,
60,-0.19633,0.461468,-0.065138,-0.006433,0.339062,1.334428,149.132892,-52.948359,-32.174811,
61,-0.19633,0.461468,-0.065138,-0.001356,0.303647,1.257552,156.056673,-64.655843,-33.559567,
62,-0.201835,0.453211,-0.072477,0.007195,0.264237,1.206663,160.085055,-75.985667,-34.692549,
63,-0.201835,0.453211,-0.072477,-0.008571,0.233083,1.160104,163.169285,-85.553074,-35.699645,
64,-0.200917,0.43945,-0.076147,-0.009373,0.189679,1.084311,163.421059,-94.616933,-36.769684,
65,-0.200917,0.43945,-0.076147,-0.023268,0.150003,1.006894,162.665737,-104.436113,-37.462062,
66,-0.200917,0.43945,-0.076147,-0.02888,0.106333,0.929206,161.847472,-115.64005,-38.469157,
67,-0.211927,0.430275,-0.077982,-0.04224,0.062929,0.816057,160.777433,-124.829796,-40.168631,
68,-0.211927,0.430275,-0.077982,-0.031552,0.018194,0.688292,155.427238,-132.571842,-40.546292,
69,-0.211927,0.430275,-0.077982,-0.014984,-0.045447,0.555654,145.671001,-138.866189,-38.280327,
70,-0.222018,0.419266,-0.086239,0.005859,-0.108289,0.433843,131.005174,-145.223479,-32.930132,
71,-0.222018,0.419266,-0.086239,-0.018725,-0.173794,0.292814,111.366813,-153.217299,-27.202277,
72,-0.230275,0.407339,-0.085321,-0.057472,-0.238234,0.199697,86.189427,-162.910593,-22.35563,
73,-0.230275,0.407339,-0.085321,-0.092744,-0.285099,0.102519,57.235433,-170.841469,-17.194266,
74,-0.230275,0.407339,-0.085321,-0.130689,-0.312792,0.006966,21.294714,-170.086148,-6.242103,
75,-0.23945,0.398165,-0.083486,-0.214863,-0.367114,-0.072347,-22.325108,-164.106519,6.34659,
76,-0.23945,0.398165,-0.083486,-0.33992,-0.410517,-0.083716,-75.701166,-150.133069,18.368792,
77,-0.23945,0.398165,-0.083486,-0.427835,-0.413713,-0.053669,-131.594963,-122.941492,27.117934,
78,-0.249541,0.400917,-0.075229,-0.453755,-0.33516,0.034035,-186.166948,-85.175413,37.125945,
79,-0.249541,0.400917,-0.075229,-0.470055,-0.194031,0.131212,-233.43749,-43.758613,48.078108,
