,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
index,Geomagnetism_X,Geomagnetism_Y,Geomagnetism_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_velocity_X,Angular_velocity_Y,Angular_velocity_Z, 
1,-0.313761,0.222018,-0.134862,-0.046351,0.554141,1.221132,123.273829,88.26625,135.417359,
2,-0.313761,0.222018,-0.134862,-0.061513,0.558149,1.136507,138.506147,85.307907,137.557437,
3,-0.323853,0.246789,-0.121101,-0.063375,0.52635,1.08375,145.807589,82.28662,141.837593,
4,-0.323853,0.246789,-0.121101,-0.067631,0.477181,1.039295,148.891819,81.216581,148.446657,
5,-0.323853,0.246789,-0.121101,-0.076941,0.39648,0.980379,151.09484,80.838921,155.622212,
6,-0.308257,0.287156,-0.129358,-0.08758,0.308296,0.923605,153.549636,81.594242,162.105389,
7,-0.308257,0.287156,-0.129358,-0.09423,0.215303,0.862546,156.130318,82.412507,167.140866,
8,-0.308257,0.287156,-0.129358,-0.103806,0.10788,0.80363,157.955678,83.167829,169.847435,
9,-0.297248,0.283486,-0.136697,-0.110722,-0.008362,0.746588,161.543456,82.978999,169.910378,
10,-0.297248,0.283486,-0.136697,-0.10886,-0.124871,0.674014,166.453046,83.230772,166.574375,
11,-0.285321,0.277982,-0.140367,-0.10088,-0.241914,0.624471,174.572753,82.790168,161.853615,
12,-0.285321,0.277982,-0.140367,-0.099284,-0.343192,0.563948,183.258951,82.349564,155.622212,
13,-0.285321,0.277982,-0.140367,-0.09556,-0.419617,0.507442,191.630432,81.90896,148.006052,
14,-0.276147,0.272477,-0.146789,-0.08359,-0.48963,0.455221,200.379574,80.524203,139.697515,
15,-0.276147,0.272477,-0.146789,-0.084388,-0.549487,0.410766,207.177468,78.321182,129.626561,
16,-0.276147,0.272477,-0.146789,-0.094496,-0.595717,0.389342,213.157097,76.369935,120.499758,
17,-0.266055,0.266055,-0.154128,-0.083856,-0.649428,0.373006,217.374309,74.2928,111.435899,
18,-0.266055,0.266055,-0.154128,-0.075079,-0.691115,0.358545,220.962087,71.838005,102.875588,
19,-0.266055,0.266055,-0.154128,-0.059119,-0.738681,0.346226,223.92043,68.879662,94.944711,
20,-0.266055,0.266055,-0.154128,-0.03651,-0.776359,0.32748,226.689942,66.739584,86.950891,
21,-0.266055,0.266055,-0.154128,-0.016294,-0.819382,0.306323,228.83002,66.236037,79.020014,
22,-0.250459,0.234862,-0.16422,-0.002728,-0.868284,0.270706,229.522398,66.047206,71.529742,
23,-0.250459,0.234862,-0.16422,0.013231,-0.925202,0.235892,227.885868,64.977167,64.291244,
24,-0.243119,0.222018,-0.166055,0.029989,-0.981853,0.187955,223.479826,64.033015,56.989802,
25,-0.243119,0.222018,-0.166055,0.05047,-1.039306,0.152606,217.122536,63.151807,50.443681,
26,-0.243119,0.222018,-0.166055,0.062174,-1.079656,0.118327,209.254602,61.326446,44.086391,
27,-0.23578,0.206422,-0.173394,0.074676,-1.130161,0.069855,198.931874,57.801612,38.106762,
28,-0.23578,0.206422,-0.173394,0.111915,-1.17933,0.046824,186.343181,53.710287,33.134228,
29,-0.23578,0.206422,-0.173394,0.13213,-1.217009,0.003708,170.544371,49.556018,28.791129,
30,-0.231193,0.188073,-0.173394,0.151282,-1.257359,-0.007272,152.605484,44.394654,24.44803,
31,-0.231193,0.188073,-0.173394,0.168306,-1.28034,-0.056547,132.967122,39.422121,20.545535,
32,-0.225688,0.172477,-0.174312,0.189851,-1.312407,-0.064313,112.888157,34.575474,17.272475,
33,-0.225688,0.172477,-0.174312,0.195703,-1.328173,-0.072883,92.998022,28.721731,14.502962,
34,-0.225688,0.172477,-0.174312,0.210333,-1.341534,-0.066991,74.177926,22.427385,11.292846,
35,-0.222936,0.162385,-0.175229,0.208205,-1.341267,-0.069937,57.120247,16.070095,8.64922,
36,-0.222936,0.162385,-0.175229,0.221504,-1.34581,-0.062439,42.265589,9.461031,4.683782,
37,-0.222936,0.162385,-0.175229,0.230814,-1.347948,-0.058422,30.935765,3.98495,0.907174,
38,-0.219266,0.153211,-0.172477,0.216982,-1.33325,-0.038337,22.186623,-0.672867,-3.372982,
39,-0.219266,0.153211,-0.172477,0.228952,-1.328173,-0.029231,13.122764,-5.078909,-6.897816,
40,-0.222018,0.147706,-0.176147,0.224696,-1.307864,-0.019858,3.24064,-8.603744,-9.289667,
41,-0.222018,0.147706,-0.176147,0.226558,-1.304123,0.002369,-6.641484,-11.750917,-10.737367,
42,-0.222018,0.147706,-0.176147,0.228686,-1.291029,0.001834,-15.768286,-15.149864,-12.373897,
43,-0.220183,0.148624,-0.173394,0.227622,-1.289426,0.002637,-25.083919,-18.045263,-14.828692,
44,-0.220183,0.148624,-0.173394,0.223632,-1.28996,-0.013967,-34.399552,-20.437115,-16.591109,
45,-0.223853,0.148624,-0.175229,0.222036,-1.285418,-0.022001,-43.778128,-23.206627,-19.612396,
46,-0.223853,0.148624,-0.175229,0.219908,-1.293701,-0.018519,-53.471422,-26.920292,-23.32606,
47,-0.223853,0.148624,-0.175229,0.220706,-1.28515,-0.024411,-62.787055,-30.067465,-27.417385,
48,-0.221101,0.150459,-0.175229,0.216184,-1.276599,-0.021733,-72.291518,-33.340525,-31.445767,
49,-0.221101,0.150459,-0.175229,0.214854,-1.248808,-0.028428,-82.614246,-37.683625,-35.222375,
50,-0.221101,0.150459,-0.175229,0.208205,-1.222353,-0.044764,-93.062862,-42.152611,-39.880192,
51,-0.223853,0.155046,-0.172477,0.210333,-1.194028,-0.050388,-103.826194,-47.125144,-44.663895,
