,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
index,Geomagnetism_X,Geomagnetism_Y,Geomagnetism_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_velocity_X,Angular_velocity_Y,Angular_velocity_Z, 
1,-0.199083,0.262385,-0.63945,-0.042508,-0.52129,0.186162,60.886154,-50.178846,29.383898,
2,-0.199083,0.262385,-0.63945,-0.06148,-0.505579,0.131483,50.437538,-48.668203,30.390994,
3,-0.199083,0.262385,-0.63945,-0.08072,-0.485875,0.081405,37.722958,-46.779899,30.453937,
4,-0.229358,0.202752,-0.158716,-0.105838,-0.45898,0.03999,25.95253,-45.269256,30.13922,
5,-0.229358,0.202752,-0.158716,-0.139775,-0.426228,-0.010359,16.448067,-44.702765,30.453937,
6,-0.229358,0.202752,-0.158716,-0.168367,-0.388416,-0.066121,8.957795,-43.129178,31.209259,
7,-0.229358,0.202752,-0.158716,-0.208182,-0.36738,-0.130004,3.6076,-39.793174,30.831598,
8,-0.23211,0.201835,-0.151376,-0.233301,-0.352202,-0.194698,-0.861386,-35.513019,29.887446,
9,-0.23211,0.201835,-0.151376,-0.272314,-0.347142,-0.248836,-2.686746,-30.099881,28.565633,
10,-0.23211,0.201835,-0.151376,-0.297433,-0.331965,-0.335186,-3.756785,-25.630895,26.362612,
11,-0.237615,0.202752,-0.153211,-0.306518,-0.306934,-0.448064,-8.162828,-18.958887,22.711891,
12,-0.237615,0.202752,-0.153211,-0.33992,-0.292555,-0.560671,-14.142457,-8.699103,18.935283,
13,-0.237615,0.202752,-0.151376,-0.369314,-0.292821,-0.715776,-17.919065,3.763704,14.466297,
14,-0.237615,0.202752,-0.151376,-0.357289,-0.322645,-0.855994,-20.751521,19.6884,9.934368,
15,-0.237615,0.202752,-0.151376,-0.333774,-0.355397,-0.969954,-22.765712,39.326761,5.150664,
16,-0.23945,0.204587,-0.150459,-0.297433,-0.387351,-1.049807,-24.654016,59.972218,2.066434,
17,-0.23945,0.204587,-0.150459,-0.229292,-0.404925,-1.078501,-26.73115,80.491788,-2.780212,
18,-0.23945,0.204587,-0.150459,-0.155273,-0.411849,-1.016242,-30.381871,101.263131,-9.200446,
19,-0.23578,0.207339,-0.151376,-0.09221,-0.459247,-0.883604,-35.732066,118.257867,-16.564831,
20,-0.23578,0.207339,-0.151376,-0.031819,-0.520757,-0.71334,-48.446646,125.496365,-24.684538,
21,-0.234862,0.207339,-0.155963,0.033115,-0.593718,-0.554174,-72.050445,121.782701,-30.978885,
22,-0.234862,0.207339,-0.155963,0.103927,-0.655229,-0.440755,-104.906934,112.089407,-34.88138,
23,-0.234862,0.207339,-0.155963,0.193445,-0.676531,-0.313261,-143.931883,103.843813,-36.958514,
24,-0.222018,0.211927,-0.163303,0.259982,-0.698366,-0.163298,-179.935545,100.067205,-37.147344,
25,-0.222018,0.211927,-0.163303,0.314762,-0.716473,0.091421,-207.127122,99.123053,-35.321984,
26,-0.222018,0.211927,-0.163303,0.405081,-0.706887,0.38945,-224.688349,100.067205,-31.98598,
27,-0.211927,0.215596,-0.16789,0.471618,-0.653099,0.793049,-238.535911,106.613326,-26.384012,
28,-0.211927,0.215596,-0.16789,0.487384,-0.542326,1.302758,-245.019088,119.76851,-18.201361,
29,-0.202752,0.231193,-0.170642,0.475893,-0.414245,1.898816,-231.863904,133.804903,-10.018711,
30,-0.202752,0.231193,-0.170642,0.486582,-0.213736,2.52411,-199.888623,138.022115,-5.927386,
31,-0.202752,0.231193,-0.170642,0.479902,-0.040387,3.190548,-162.500205,133.112525,-2.402552,
32,-0.190826,0.245872,-0.175229,0.42726,0.09728,3.829376,-124.9859,122.223305,-1.332513,
33,-0.190826,0.245872,-0.175229,0.366602,0.182223,4.376711,-93.262393,105.4174,-0.577191,
34,-0.190826,0.245872,-0.175229,0.337208,0.235479,4.829034,-69.532707,75.959858,-2.276665,
35,-0.181651,0.256881,-0.181651,0.27842,0.286339,5.09458,-50.146119,41.466839,-2.906099,
36,-0.181651,0.256881,-0.181651,0.239406,0.266368,5.197984,-33.591988,4.330195,-2.276665,
37,-0.173394,0.270642,-0.181651,0.20066,0.231485,5.047751,-18.044952,-32.617619,-0.514248,
38,-0.173394,0.270642,-0.181651,0.14588,0.220834,4.620602,0.460427,-64.341126,-0.19953,
39,-0.173394,0.270642,-0.181651,0.102057,0.145743,4.06623,29.792082,-86.93783,-2.843156,
40,-0.17156,0.268807,-0.183486,0.06331,0.107931,3.403852,63.592723,-112.304047,-5.109121,
41,-0.17156,0.268807,-0.183486,0.000247,0.050414,2.766648,89.52543,-121.99734,-7.752746,
42,-0.17156,0.268807,-0.183486,-0.044913,-0.00657,2.204155,111.68153,-119.605489,-8.571011,
43,-0.179817,0.268807,-0.180734,-0.050791,-0.065151,1.669813,132.641704,-116.143598,-8.508068,
44,-0.179817,0.268807,-0.180734,-0.055067,-0.136781,1.246995,149.951157,-108.086834,-8.759842,
45,-0.191743,0.262385,-0.174312,-0.029147,-0.230512,0.924875,162.476907,-95.498141,-11.969958,
46,-0.191743,0.262385,-0.174312,0.014142,-0.325041,0.706699,167.008836,-84.231261,-15.494792,
47,-0.191743,0.262385,-0.174312,0.055561,-0.408121,0.559173,161.973359,-74.41208,-16.690718,
48,-0.2,0.249541,-0.173394,0.086825,-0.480283,0.461183,150.643535,-68.180677,-16.753662,
49,-0.2,0.249541,-0.173394,0.117021,-0.50771,0.376998,135.851821,-64.907617,-15.117132,
50,-0.2,0.249541,-0.173394,0.123167,-0.518893,0.29146,123.514902,-63.208144,-11.718184,
51,-0.210092,0.236697,-0.170642,0.123434,-0.519959,0.191305,114.702816,-64.026409,-9.074559,
52,-0.210092,0.236697,-0.170642,0.123969,-0.520757,0.101166,105.701901,-63.711691,-5.612668,
53,-0.219266,0.22844,-0.16789,0.101522,-0.517296,0.010214,93.994416,-62.452822,-2.906099,
54,-0.219266,0.22844,-0.16789,0.070525,-0.495993,-0.04609,83.419914,-61.382783,-0.388361,
55,-0.219266,0.22844,-0.16789,0.029908,-0.456317,-0.10131,74.607829,-61.131009,1.877604,
56,-0.224771,0.217431,-0.161468,-0.001623,-0.414511,-0.140019,66.928726,-60.879235,4.017682,
57,-0.224771,0.217431,-0.161468,-0.041706,-0.368977,-0.176562,61.830305,-60.690405,4.773003,
58,-0.224771,0.217431,-0.161468,-0.086064,-0.334894,-0.236385,55.158298,-63.019313,4.395343,
59,-0.229358,0.212844,-0.155963,-0.119466,-0.302674,-0.286462,45.905609,-65.096448,3.891795,
60,-0.229358,0.212844,-0.155963,-0.141645,-0.2843,-0.37958,31.743329,-65.159391,2.255265,
61,-0.23945,0.207339,-0.155046,-0.176918,-0.277111,-0.484878,14.622707,-61.50867,0.807565,
62,-0.23945,0.207339,-0.155046,-0.193485,-0.266992,-0.572581,0.271596,-55.591984,-2.276665,
63,-0.23945,0.207339,-0.155046,-0.212458,-0.282436,-0.66624,-7.533393,-48.98292,-4.102025,
64,-0.244954,0.206422,-0.147706,-0.225818,-0.298147,-0.762606,-10.995284,-40.296722,-4.542629,
65,-0.244954,0.206422,-0.147706,-0.256014,-0.3072,-0.849497,-12.631814,-29.53339,-4.416742,
66,-0.244954,0.206422,-0.147706,-0.263496,-0.304538,-0.965894,-14.457174,-15.434053,-5.675612,
67,-0.248624,0.204587,-0.144954,-0.283805,-0.288561,-1.065507,-17.604348,1.560682,-7.941577,
68,-0.248624,0.204587,-0.144954,-0.303579,-0.285898,-1.125871,-21.506843,19.562513,-10.962863,
69,-0.251376,0.207339,-0.144954,-0.30251,-0.305869,-1.182987,-26.668207,39.452648,-14.928301,
70,-0.251376,0.207339,-0.144954,-0.27846,-0.315721,-1.205454,-33.717875,58.839236,-18.516079,
71,-0.251376,0.207339,-0.144954,-0.237309,-0.366581,-1.175678,-40.89343,78.729371,-21.285591,
72,-0.249541,0.208257,-0.144037,-0.186805,-0.416109,-1.140759,-46.747172,96.353541,-24.558651,
73,-0.249541,0.208257,-0.144037,-0.122405,-0.441139,-1.055221,-53.859784,109.068121,-28.020542,
74,-0.249541,0.208257,-0.144037,-0.016855,-0.46404,-0.886311,-64.245456,118.32081,-31.482433,
75,-0.245872,0.210092,-0.150459,0.088696,-0.515165,-0.623471,-80.044265,122.66391,-35.951419,
76,-0.245872,0.210092,-0.150459,0.167792,-0.607831,-0.322464,-106.417577,119.390849,-41.61633,
77,-0.234862,0.212844,-0.152294,0.246087,-0.67094,-0.011441,-144.43543,110.264047,-45.267051,
78,-0.234862,0.212844,-0.152294,0.320908,-0.701828,0.282257,-185.789287,98.430675,-45.644712,
79,-0.234862,0.212844,-0.152294,0.407486,-0.714876,0.543743,-220.72291,86.912021,-41.742217,
80,-0.229358,0.216514,-0.162385,0.494331,-0.713544,0.833923,-241.746028,80.17707,-31.60832,
81,-0.229358,0.216514,-0.162385,0.580108,-0.684786,1.165789,-249.551017,83.198357,-17.886644,
82,-0.229358,0.216514,-0.162385,0.614045,-0.569487,1.600787,-238.976515,95.78705,-3.850251,
83,-0.222018,0.22844,-0.166972,0.668023,-0.417174,2.200636,-208.260104,109.005178,9.241989,
84,-0.222018,0.22844,-0.166972,0.696348,-0.22705,2.828636,-164.76617,113.159446,23.404269,
